-1 1 MeanDecreaseAccuracy MeanDecreaseGini
-0.3800516 -0.220568 -0.2119116 0.03355801
-0.1174446 -1.000334 -0.3754648 0.01803237
0.7838241 -1.72466 -0.5480043 0.0566389
-1.110083 2.614491 1.180264 0.08373557
-1.324548 -1.386616 -1.697135 0.03007583
0.7434875 -2.26892 -1.426665 0.08128266
0.4786397 1.729459 1.362901 0.03236059
-0.9824102 0.03552039 -0.6331139 0.05912742
0 -1.000334 -1.000334 0.01055888
-1.588197 -0.312698 -1.189362 0.04020121
1.178152 0.5465846 1.315168 0.04699675
-0.8528373 -1.38872 -1.558089 0.03285862
-1.64204 -1.372974 -1.847562 0.05636606
-0.3759704 -0.6059134 -0.4460829 0.01948425
0.6078109 1.070045 0.9926703 0.03070628
-0.287673 1.494501 0.997717 0.05123158
-1.527839 1.46294 -0.4379084 0.02334777
-0.5146879 -2.395778 -1.364847 0.03743335
-1.297661 -0.04803335 -1.458527 0.03455456
0.3299807 -0.9311181 -0.1236065 0.07477955
-0.5650261 -1.343794 -1.17059 0.04848914
-0.5711786 0.1524998 -0.3830678 0.02559132
-1.282594 -0.9095519 -1.351367 0.0354368
-0.6638266 -0.6539753 -0.7553565 0.02751799
-0.9746633 0.4414681 -0.7276284 0.05825073
-0.4895076 -0.05608866 -0.3414228 0.03876912
0.4577156 -0.1205539 0.3834322 0.1077664
0.3232412 0.120776 0.5774534 0.01377755
-0.06783776 -0.5946918 -0.4291281 0.01354537
1.247265 0.2429621 0.8602431 0.0546842
-1.047023 -1.224028 -1.488858 0.02269122
-0.4094952 1.396319 0.883702 0.03043767
-0.01407319 1.391953 0.592469 0.06122868
-2.65031 1.560779 -0.6186653 0.06537904
0.9020765 -0.5231074 0.1581404 0.0661159
-1.25812 -0.1375442 -0.5898518 0.01886616
0 0 0 0.0152945
-1.39868 -0.0929602 -1.368597 0.02130146
1.278992 0.7494633 1.405136 0.05299881
-0.01840208 1.722969 1.13823 0.03494948
-0.2894502 -1.073339 -1.215261 0.02577849
0.2606292 1.702115 1.72693 0.02543703
0.6509815 -0.8819439 -0.5179868 0.05209616
0.08720177 1.42491 1.634637 0.02787576
-2.324811 -0.8814955 -1.804004 0.04338141
1.410463 -0.05992817 0.4133935 0.07968035
1.451422 -1.047198 0.487454 0.1618737
3.584786 2.573288 3.788942 0.1617781
-0.3990646 -1.411556 -1.089053 0.0206228
-0.8436326 0.02796725 -0.616686 0.02860583
-1.705566 -0.06142959 -0.8444154 0.03403302
-0.09473779 0.1874863 0.3231077 0.03640125
-0.8559949 -1.131483 -1.28705 0.04982161
0.2773572 -1.000334 -0.4030306 0.006477193
0.1168106 2.33805 1.683308 0.04329817
1.427823 -0.4816745 0.8090155 0.04699063
2.367727 2.152674 2.583792 0.05342517
-0.9841777 -1.38764 -1.484847 0.01269907
0.08238959 0.4251685 0.3667089 0.0439474
-1.433238 0.6236167 -0.7211607 0.0653924
-2.140796 1.426658 -0.4282501 0.03501699
-0.4650473 -1.11605 -0.6440161 0.04170736
-2.166585 -1.303798 -2.181012 0.1004278
2.923288 3.267763 3.678719 0.150463
-1.393389 -2.531812 -2.356007 0.03127908
-1.285989 -1.109923 -1.184224 0.03927138
-1.733785 -1.636474 -2.054069 0.03116996
-0.6081893 -0.2575188 -0.4721446 0.01983731
