path1	path2	strict1	strict2	cum1	cum2	Perm1	Perm2	Gini	Perm	Count

1.0	0.342857142857	0.430714285714	0.43	0.428571428571	0.429285714286	0.327142857143	0.321428571429	0.452857142857	0.367857142857	0.352857142857
0.0	1.0	0.298571428571	0.296428571429	0.300714285714	0.297142857143	0.285	0.310714285714	0.356428571429	0.302857142857	0.262857142857
0.0	0.0	1.0	0.822142857143	0.999285714286	0.820714285714	0.501428571429	0.544285714286	0.739285714286	0.578571428571	0.562857142857
0.0	0.0	0.0	1.0	0.821428571429	0.999285714286	0.475	0.462857142857	0.708571428571	0.55	0.528571428571
0.0	0.0	0.0	0.0	1.0	0.82	0.503571428571	0.546428571429	0.737142857143	0.580714285714	0.565
0.0	0.0	0.0	0.0	0.0	1.0	0.471428571429	0.462142857143	0.707142857143	0.549285714286	0.527857142857
0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.637142857143	0.505714285714	0.664285714286	0.605
0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.575	0.705	0.601428571429
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.669285714286	0.612142857143
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.667142857143
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0

0.0	0.348026506145	0.387259471103	0.347142857143	0.387561713321	0.347769129376	0.339819880261	0.390708409462	0.357673890919	0.357303535284	0.34483358897
0.0	0.0	0.373466934307	0.366258662919	0.374512608436	0.366967718093	0.373994570516	0.3337518631	0.343191057635	0.373704565186	0.379161265567
0.0	0.0	0.0	0.197753970006	0.005	0.198526459451	0.347436677537	0.342898806992	0.260224589028	0.37816689977	0.367947977689
0.0	0.0	0.0	0.0	0.198848727244	0.005	0.337703075714	0.356997113119	0.264320461036	0.369293312992	0.397055488848
0.0	0.0	0.0	0.0	0.0	0.199611868282	0.345986463107	0.34116023526	0.264069409552	0.376396040882	0.367054603067
0.0	0.0	0.0	0.0	0.0	0.0	0.337608637088	0.356385625812	0.264285714286	0.368871002285	0.396624147381
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.305423760486	0.347025259329	0.31542003094	0.328836073546
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.330988778403	0.322127018933	0.34198997479
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.337518706965	0.39473641425
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.374059364491
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
