left_daughter right_daughter split_var split_point status prediction
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 2 -0.426508 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.3527535 1 0
4 5 4 0.4307888 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
6 7 141 0.5362955 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 32 -0.5375155 1 0
4 5 66 1.089276 1 0
6 7 2 -0.4200687 1 0
8 9 117 1.599308 1 0
0 0 0 0 -1 1
10 11 104 1.512304 1 0
12 13 4 -1.126177 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.7483212 1 0
4 5 179 1.465079 1 0
6 7 186 1.535095 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 105 2.015707 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.4029549 1 0
0 0 0 0 -1 1
4 5 138 1.08423 1 0
6 7 195 -0.8817042 1 0
0 0 0 0 -1 1
8 9 100 0.0786042 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 5 -0.7365703 1 0
4 5 3 0.5347765 1 0
6 7 3 -0.6427083 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.4029549 1 0
0 0 0 0 -1 1
4 5 138 0.4908033 1 0
0 0 0 0 -1 2
6 7 175 0.6959813 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.4803106 1 0
4 5 4 -0.2421668 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
6 7 111 0.5842918 1 0
0 0 0 0 -1 2
8 9 162 0.5631386 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 196 0.6920376 1 0
4 5 20 -0.2125242 1 0
6 7 53 0.7499949 1 0
8 9 42 1.405951 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
10 11 194 1.250998 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.1049803 1 0
4 5 6 1.19728 1 0
6 7 42 -1.868987 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.4029549 1 0
0 0 0 0 -1 1
4 5 5 -0.9337026 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 117 -0.4886374 1 0
4 5 115 1.009958 1 0
6 7 4 -1.441593 1 0
