-1 1 MeanDecreaseAccuracy MeanDecreaseGini
6.823296 -0.1981222 14.35243 1.954019 -0.7040382 -1.939602 8.987144 15.28808 3.579652
24.76993 32.01769 27.72425 14.70806 61.49565 21.71781 21.09122 51.51358 17.15878
0 0 0 0 0 0 0 0 0
1.0005 1.383258 -1.934129 0 0.1084659 0 1.413182 0.178885 0.1628199
1.0005 3.478918 6.272822 0 -1.0005 1.0005 0 6.289602 0.2464893
4.512772 4.157633 7.386642 -1.0005 4.288355 1.877669 4.500031 10.74716 1.525767
2.927272 -1.575668 6.302071 1.414291 0.8926807 0 5.506674 7.473676 1.231443
2.493579 4.511074 8.730223 1.321101 8.800241 3.041342 8.134139 14.00684 3.192937
2.778005 0.1954093 7.298031 0.2934679 6.096557 1.396331 4.842437 9.310065 1.647452
11.99918 11.87581 12.34386 6.462575 10.90672 16.61702 11.96796 20.19216 6.564993
14.51408 11.42397 14.98058 7.134954 11.09801 16.71155 14.03608 23.09995 7.9732
12.40929 11.12169 11.01439 6.319116 11.13518 16.71827 10.92477 19.94454 6.381051
13.15407 11.38845 11.62307 4.240573 10.07103 15.59052 11.39482 20.29078 6.07309
25.38428 8.524303 13.46833 5.466135 9.458891 8.291346 11.91618 25.6065 7.401778
10.47918 7.456997 9.262227 11.96921 10.27819 7.389064 8.312713 15.47613 4.927329
21.3018 15.8655 20.53564 23.85692 18.34107 13.72709 16.01121 30.42336 14.11472
12.00314 11.10169 11.71049 6.634363 10.58439 16.63752 10.97258 19.74166 6.322892
9.707476 10.06752 17.7928 3.248312 7.788784 5.425981 1.890991 19.42666 4.587662
36.95394 19.37747 44.41014 23.17305 19.35183 19.07243 22.9457 46.96812 23.95601
