path1	path2	strict1	strict2	cum1	cum2	Perm1	Perm2	Gini	Perm	Count

1.0	0.10254545454545448	0.2739393939393939	0.2739393939393938	0.2753939393939394	0.2666666666666666	0.24751515151515155	0.24896969696969698	0.21793939393939393	0.2157575757575758	0.05575757575757576
0.0	1.0	0.1435151515151515	0.13575757575757572	0.13963636363636361	0.13430303030303029	0.1711515151515151	0.10109090909090906	0.1808484848484848	0.19636363636363632	0.12581818181818177
0.0	0.0	1.0	0.8831515151515151	0.9881212121212122	0.8783030303030303	0.3975757575757574	0.1915151515151515	0.5449696969696969	0.23030303030303034	0.11006060606060608
0.0	0.0	0.0	1.0	0.8935757575757576	0.9941818181818181	0.39127272727272716	0.16969696969696965	0.5192727272727272	0.20969696969696966	0.13745454545454547
0.0	0.0	0.0	0.0	1.0	0.8887272727272727	0.3922424242424241	0.18521212121212116	0.5381818181818181	0.22448484848484848	0.11272727272727275
0.0	0.0	0.0	0.0	0.0	1.0	0.3966060606060605	0.1699393939393939	0.5168484848484848	0.20703030303030293	0.1347878787878788
0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.19006060606060607	0.32848484848484844	0.41842424242424237	0.16751515151515148
0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.09236363636363634	0.2383030303030303	0.07757575757575758
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.24000000000000007	0.18836363636363632
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2642424242424243
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0

0.0	0.35219962617221695	0.27372745891321426	0.27710957279597875	0.2672642340435735	0.2741565243001619	0.28254480454405684	0.34068119520700985	0.31105250399048573	0.3131803154880311	0.33337740755451417
0.0	0.0	0.3412383648877394	0.3220252714960328	0.33651148265910996	0.3253464297594311	0.28100190680019294	0.3105430889603085	0.32084452379325024	0.35726334580429603	0.32172756813672887
0.0	0.0	0.0	0.16196697279223957	0.0628664537008274	0.1711961483565597	0.2677800448753139	0.33720724132146496	0.2844867851866266	0.34462846472114195	0.2855680402311666
0.0	0.0	0.0	0.0	0.14656725907414275	0.028810772396112648	0.2934564229597106	0.34710080889205225	0.30866623232094337	0.3313328400149312	0.2986088098230669
0.0	0.0	0.0	0.0	0.0	0.15702823291385454	0.2703547715120612	0.33882454401259704	0.2934860609164424	0.3480159374879808	0.2880363205339565
0.0	0.0	0.0	0.0	0.0	0.0	0.29657403450583303	0.34655849128074734	0.31305606394630614	0.3316970527492989	0.2933722989396305
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35416091034051617	0.3044910248360258	0.3107713322310137	0.2974066297136169
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3485655980226465	0.32294658077028976	0.3304203294639249
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2988634731343411	0.28855573358814623
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3260515938824379
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
